,identif,w_all,st_all,sc_all,oth_all,profit_all,live_profit,byprod_profit,crop_profit,ent_profit
0,1,6000000.0,2400000.0,4200000.0,1300000.0,0.0,,0.0,,
1,2,8400000.0,3888000.0,0.0,1650000.0,0.0,,0.0,,
2,3,0.0,3000000.0,6500000.0,1250000.0,0.0,,0.0,,
3,4,16200000.0,0.0,4800000.0,700000.0,0.0,,0.0,,
4,5,0.0,0.0,10800000.0,700000.0,0.0,,0.0,,
5,6,11000000.0,3750000.0,1830000.0,1550000.0,0.0,,0.0,,
6,7,26400000.0,4864000.0,0.0,1950000.0,0.0,,0.0,,
7,8,6240000.0,4800000.0,0.0,1680000.0,0.0,,0.0,,
8,9,22800000.0,1200000.0,0.0,1350000.0,0.0,,0.0,,
9,10,5040000.0,3386000.0,1200000.0,2000000.0,0.0,,0.0,,
10,11,3200000.0,300000.0,0.0,50000.0,0.0,,0.0,,
11,12,12000000.0,1800000.0,4200000.0,50000.0,120000.0,,0.0,,
12,13,2040000.0,300000.0,350000.0,50000.0,0.0,,0.0,,
13,14,0.0,3960000.0,4800000.0,100000.0,0.0,,0.0,,854000.0
14,15,0.0,2200000.0,8400000.0,150000.0,0.0,,0.0,,
15,16,8300000.0,1800000.0,4200000.0,50000.0,160000.0,,0.0,,
16,17,0.0,300000.0,4305000.0,50000.0,0.0,,0.0,,
17,18,8400000.0,1700000.0,4200000.0,250000.0,0.0,,0.0,,
18,19,0.0,5884000.0,8400000.0,150000.0,0.0,,0.0,,
19,20,3600000.0,2400000.0,0.0,150000.0,0.0,29110000.0,8250000.0,,
20,21,0.0,5450000.0,0.0,350000.0,0.0,,0.0,,1800000.0
21,22,11400000.0,1300000.0,0.0,3850000.0,0.0,,0.0,,
22,23,0.0,4276000.0,4350000.0,0.0,0.0,,0.0,,400000.0
23,24,1350000.0,5076000.0,5650000.0,0.0,0.0,,0.0,,
24,25,20368000.0,1500000.0,0.0,700000.0,0.0,,0.0,,
25,26,0.0,0.0,4200000.0,700000.0,0.0,,0.0,,1850000.0
26,27,0.0,350000.0,3800000.0,0.0,0.0,,0.0,,
27,28,0.0,3950000.0,0.0,350000.0,0.0,,0.0,,14400000.0
28,29,0.0,350000.0,0.0,0.0,0.0,,0.0,,
29,30,2223000.0,0.0,1700000.0,350000.0,0.0,,0.0,418409.0909090909,
30,31,12756000.0,2100000.0,0.0,100000.0,0.0,,0.0,,
31,32,0.0,5700000.0,0.0,100000.0,400000.0,,0.0,,3200000.0
32,33,2050000.0,10902000.0,0.0,5150000.0,85000.0,,0.0,,
33,34,26100000.0,3900000.0,0.0,6150000.0,0.0,-103000.0,0.0,,
34,35,11500000.0,3850000.0,0.0,5600000.0,0.0,,0.0,,
35,36,25000000.0,3600000.0,0.0,200000.0,0.0,,0.0,,
36,37,7800000.0,4450000.0,0.0,50000.0,230000.0,,0.0,,
37,38,0.0,560000.0,6558000.0,50000.0,0.0,,0.0,,
38,39,4200000.0,8510000.0,8700000.0,200000.0,0.0,,0.0,,
39,40,10000000.0,1200000.0,4350000.0,150000.0,200000.0,,0.0,,
40,41,600000.0,3760000.0,0.0,1650000.0,0.0,4760000.0,3750000.0,,
41,42,2100000.0,7700000.0,0.0,2850000.0,0.0,12716666.666666668,4360000.0,-292307.6923076923,7990000.0
42,43,0.0,0.0,4200000.0,700000.0,0.0,7000000.0,0.0,,
43,44,7200000.0,0.0,8400000.0,700000.0,0.0,-1384000.0,0.0,3732666.666666666,
44,45,35640000.0,1200000.0,5000000.0,1000000.0,0.0,,0.0,,
45,46,12000000.0,5692000.0,1000000.0,2130000.0,0.0,,0.0,,
46,47,7404000.0,6964000.0,0.0,2250000.0,0.0,,0.0,,
47,48,0.0,2400000.0,0.0,1350000.0,0.0,9623142.857142856,3000000.0,,
48,49,0.0,2400000.0,0.0,1350000.0,0.0,,0.0,,19700000.0
49,50,2400000.0,2400000.0,0.0,5650000.0,0.0,,0.0,,
50,51,30000000.0,2400000.0,0.0,1350000.0,0.0,,0.0,,
51,52,13920000.0,2400000.0,0.0,1350000.0,0.0,,0.0,,
52,53,17760000.0,2800000.0,1000000.0,1400000.0,0.0,,0.0,,
53,54,20000000.0,0.0,0.0,350000.0,0.0,,0.0,,
54,55,15500000.0,4800000.0,1000000.0,1600000.0,0.0,-2000000.0,0.0,,
55,56,8400000.0,0.0,0.0,350000.0,0.0,,0.0,,
56,57,14880000.0,0.0,2900000.0,1100000.0,0.0,,0.0,,
57,58,0.0,0.0,4650000.0,300000.0,0.0,,0.0,,
58,59,0.0,5856000.0,5000000.0,1750000.0,0.0,,0.0,,8900000.0
59,60,0.0,0.0,10000000.0,1000000.0,0.0,,0.0,,
60,61,18700000.0,0.0,0.0,700000.0,0.0,,0.0,,
61,62,2000000.0,1850000.0,0.0,650000.0,0.0,,0.0,,
62,63,0.0,5310000.0,0.0,700000.0,0.0,13683333.333333332,2250000.0,,
63,64,4300000.0,0.0,0.0,700000.0,0.0,,0.0,,
64,65,0.0,4500000.0,0.0,700000.0,0.0,,0.0,,32000000.0
65,66,0.0,350000.0,4200000.0,300000.0,0.0,,0.0,,
66,67,20640000.0,3000000.0,0.0,700000.0,0.0,,0.0,,
67,68,16860000.0,2700000.0,8400000.0,700000.0,0.0,1840000.0,0.0,,
68,69,0.0,980000.0,9048000.0,0.0,0.0,,0.0,,
69,70,0.0,0.0,4800000.0,1850000.0,0.0,,0.0,,
70,71,20700000.0,5200000.0,0.0,320000.0,0.0,,0.0,,
71,72,20200000.0,5750000.0,0.0,160000.0,0.0,,0.0,,
72,73,0.0,300000.0,15300000.0,900000.0,0.0,,0.0,,
73,74,21600000.0,2250000.0,2000000.0,280000.0,0.0,,0.0,,
74,75,12990000.0,0.0,6000000.0,9010000.0,0.0,,0.0,,
75,76,27400000.0,2100000.0,0.0,6340000.0,0.0,,0.0,,
76,77,0.0,400000.0,8700000.0,850000.0,0.0,,0.0,,
77,78,7200000.0,700000.0,4500000.0,120000.0,0.0,,0.0,,480000.0
78,79,34700000.0,700000.0,0.0,400000.0,0.0,,0.0,,
79,80,11520000.0,700000.0,3800000.0,140000.0,0.0,,0.0,,
80,81,0.0,5856000.0,0.0,0.0,0.0,,0.0,,
81,82,0.0,600000.0,385000.0,0.0,0.0,,0.0,,
82,83,9600000.0,1500000.0,0.0,350000.0,0.0,,0.0,,
83,84,700000.0,8866000.0,8700000.0,0.0,0.0,,0.0,,
84,85,0.0,5128000.0,0.0,0.0,0.0,,0.0,,
85,86,0.0,7274000.0,4350000.0,0.0,0.0,,0.0,,-500000.0
86,87,11580000.0,6450000.0,0.0,350000.0,0.0,,0.0,,
87,88,6000000.0,9820000.0,0.0,0.0,0.0,,0.0,,
88,89,5400000.0,450000.0,4350000.0,700000.0,0.0,,0.0,,
89,90,28200000.0,0.0,0.0,700000.0,0.0,,0.0,,
90,91,8200000.0,0.0,2095000.0,1400000.0,0.0,-900000.0,0.0,456151.51515151525,
91,92,9090000.0,2450000.0,0.0,350000.0,0.0,,0.0,,
92,93,0.0,4418000.0,4200000.0,350000.0,0.0,1000000.0,0.0,12700.0,
93,94,8512000.0,4550000.0,0.0,700000.0,0.0,,0.0,,
94,95,17800000.0,2800000.0,0.0,700000.0,0.0,1400000.0,0.0,,
95,96,10300000.0,3000000.0,0.0,700000.0,0.0,,0.0,131500.0,
96,97,0.0,460000.0,4848000.0,0.0,0.0,,0.0,,
97,98,5000000.0,1500000.0,0.0,600000.0,0.0,23500000.0,2850000.0,,
98,99,0.0,7726000.0,0.0,0.0,0.0,,0.0,,
99,100,18680000.0,3000000.0,0.0,700000.0,0.0,,0.0,,
100,101,2000000.0,7668000.0,0.0,0.0,0.0,,0.0,,
101,102,5844000.0,3750000.0,1000000.0,350000.0,0.0,,0.0,,
102,103,3000000.0,0.0,0.0,350000.0,0.0,,0.0,,
103,104,0.0,900000.0,0.0,700000.0,0.0,,0.0,,49920000.0
104,105,19800000.0,4500000.0,0.0,700000.0,0.0,2800000.0,0.0,,
105,106,0.0,3950000.0,0.0,350000.0,0.0,6000.0,2550000.0,,11100000.0
106,107,0.0,1800000.0,3900000.0,350000.0,80000.0,,0.0,,960000.0
107,108,0.0,2300000.0,9000000.0,150000.0,0.0,,0.0,,
108,109,8028000.0,2400000.0,4500000.0,100000.0,220000.0,8217000.0,0.0,,
109,110,0.0,8112000.0,4500000.0,150000.0,0.0,4500000.0,0.0,,
110,111,0.0,500000.0,4500000.0,50000.0,0.0,,0.0,,
111,112,0.0,700000.0,9340000.0,100000.0,0.0,6830000.0,3750000.0,2450000.0,
112,113,0.0,400000.0,4500000.0,50000.0,0.0,,0.0,,
113,114,13500000.0,2250000.0,0.0,600000.0,100000.0,-1000000.0,0.0,,
114,115,5040000.0,5550000.0,4350000.0,350000.0,0.0,50000.0,1470000.0,,
115,116,18240000.0,1950000.0,0.0,350000.0,0.0,24140000.0,0.0,957230.7692307692,
116,117,0.0,3650000.0,4020000.0,0.0,0.0,440000.0,1160000.0,,
117,118,9000000.0,3000000.0,0.0,700000.0,0.0,,0.0,371538.4615384615,
118,119,9000000.0,1500000.0,0.0,700000.0,0.0,1300000.0,0.0,77615.38461538462,3800000.0
119,120,6000000.0,1500000.0,4350000.0,7700000.0,0.0,,0.0,,
120,121,15240000.0,3000000.0,0.0,700000.0,0.0,4980000.0,0.0,59846.15384615384,
121,122,12744000.0,6950000.0,0.0,0.0,0.0,8442000.0,1400000.0,432439.40620782727,
122,123,0.0,1300000.0,4452000.0,50000.0,0.0,2424000.0,0.0,,
123,124,6944000.0,1050000.0,0.0,14000.0,0.0,5094000.0,2970000.0,,
124,125,0.0,700000.0,7800000.0,32000.0,0.0,346000.0,2080000.0,327752.91375291377,
125,126,0.0,2300000.0,12600000.0,100000.0,0.0,-9825000.0,780000.0,,
126,127,0.0,510000.0,4200000.0,90000.0,0.0,,0.0,,
127,128,6640000.0,2700000.0,0.0,100000.0,0.0,,0.0,,
128,129,12500000.0,4200000.0,0.0,270000.0,0.0,20080000.0,0.0,,
129,130,5995000.0,4050000.0,272000.0,0.0,0.0,-2980000.0,280000.0,,
130,131,0.0,0.0,4500000.0,700000.0,0.0,2330000.0,350000.0,,
131,132,0.0,6000000.0,0.0,1000000.0,0.0,-4200000.0,0.0,,-8500000.0
132,133,0.0,0.0,4350000.0,350000.0,0.0,2880000.0,0.0,,
133,134,18800000.0,4550000.0,0.0,700000.0,0.0,478480.0,0.0,288076.9230769231,
134,135,0.0,0.0,4350000.0,350000.0,0.0,-310000.0,0.0,,
135,136,0.0,0.0,0.0,350000.0,0.0,1500000.0,1200000.0,,
136,137,6450000.0,8050000.0,1600000.0,350000.0,0.0,1840000.0,0.0,190192.3076923077,
137,138,20760000.0,1500000.0,0.0,700000.0,0.0,2430000.0,0.0,210192.3076923077,
138,139,5930000.0,5964000.0,0.0,1350000.0,0.0,,0.0,,
139,140,7000000.0,1500000.0,0.0,1000000.0,0.0,4150000.0,0.0,,
140,141,6000000.0,3456000.0,0.0,700000.0,0.0,2500000.0,0.0,,
141,142,0.0,3456000.0,8700000.0,1050000.0,0.0,,0.0,,
142,143,6000000.0,3100000.0,2000000.0,1300000.0,0.0,7876000.0,0.0,,
143,144,6000000.0,7056000.0,0.0,1600000.0,0.0,,0.0,,
144,145,0.0,300000.0,4200000.0,350000.0,0.0,,0.0,,
145,146,0.0,0.0,4790000.0,350000.0,0.0,,0.0,,
146,147,0.0,2400000.0,0.0,150000.0,0.0,25826000.0,3004000.0,,
147,148,9300000.0,2300000.0,0.0,100000.0,0.0,,0.0,,
148,149,0.0,2100000.0,420000.0,100000.0,0.0,20821142.85714286,12300000.0,,
149,150,0.0,2480000.0,0.0,4100000.0,0.0,9600000.0,0.0,,
150,151,0.0,5956000.0,4200000.0,150000.0,0.0,6246000.0,3600000.0,,
151,152,0.0,4300000.0,0.0,9200000.0,0.0,25576000.0,19500000.0,,
152,153,0.0,300000.0,0.0,50000.0,0.0,,0.0,,21437000.0
153,154,5400000.0,2100000.0,0.0,100000.0,0.0,-12470333.333333332,15000000.0,,
154,155,1200000.0,3892000.0,0.0,1780000.0,0.0,5494600.0,5290000.0,,
155,156,3500000.0,2700000.0,4500000.0,1350000.0,0.0,2443000.0,3590000.0,,
156,157,0.0,3700000.0,0.0,2200000.0,0.0,2224000.0,0.0,,24600000.0
157,158,28800000.0,1200000.0,0.0,1700000.0,0.0,5100000.0,960000.0,781136.3636363636,
158,159,0.0,5400000.0,0.0,1600000.0,0.0,9100000.0,22040000.0,,
159,160,0.0,3000000.0,0.0,1030000.0,0.0,4454666.666666666,1050000.0,,
160,161,0.0,0.0,0.0,700000.0,0.0,57682352.941176474,9600000.0,,
161,162,0.0,3600000.0,0.0,2080000.0,0.0,14800000.0,9920000.0,,29060000.0
162,163,0.0,3600000.0,0.0,100000.0,290000.0,120465000.0,9774000.0,,
163,164,2500000.0,3600000.0,0.0,2688000.0,0.0,3977000.0,0.0,,
164,165,7200000.0,2400000.0,0.0,150000.0,0.0,,0.0,,
165,166,0.0,1800000.0,0.0,50000.0,0.0,,0.0,,
166,167,3000000.0,300000.0,0.0,50000.0,0.0,6075000.0,1200000.0,,
167,168,3500000.0,300000.0,0.0,50000.0,0.0,,0.0,,
168,169,8680000.0,6200000.0,2000000.0,15100000.0,0.0,1000000.0,300000.0,,
169,170,0.0,750000.0,8400000.0,1100000.0,0.0,,0.0,5064000.0,
170,171,0.0,0.0,0.0,350000.0,0.0,4783333.333333334,1500000.0,,
171,172,2400000.0,2750000.0,1000000.0,1300000.0,0.0,2850000.0,3025000.0,,
172,173,0.0,1200000.0,0.0,650000.0,0.0,7816666.666666668,7675000.0,,
173,174,0.0,0.0,0.0,1050000.0,0.0,7633333.333333332,7000000.0,,
174,175,0.0,5256000.0,0.0,1750000.0,0.0,6796666.666666667,2058000.0,,
175,176,6000000.0,0.0,0.0,350000.0,0.0,,0.0,,
176,177,0.0,7056000.0,0.0,1950000.0,0.0,9393333.333333332,8400000.0,,
177,178,0.0,3700000.0,0.0,1900000.0,0.0,10450000.0,9420000.0,,
178,179,0.0,4150000.0,0.0,0.0,0.0,3650000.0,3420000.0,,
179,180,3480000.0,700000.0,4850000.0,25000.0,0.0,,0.0,,
180,181,0.0,5850000.0,0.0,800000.0,0.0,2767000.0,3740000.0,,
181,182,1600000.0,350000.0,4350000.0,0.0,0.0,0.0,0.0,,
182,183,0.0,700000.0,0.0,32000.0,0.0,5660000.0,7050000.0,,
183,184,9350000.0,5200000.0,0.0,4045000.0,0.0,-610000.0,750000.0,,
184,185,9320000.0,1000000.0,0.0,80000.0,30000.0,,0.0,84000.0,
185,186,0.0,5200000.0,0.0,240000.0,0.0,68880571.42857143,9936000.0,,
186,187,0.0,1100000.0,8700000.0,150000.0,0.0,88100000.0,18250000.0,,
187,188,0.0,500000.0,5350000.0,50000.0,0.0,,0.0,,
188,189,0.0,900000.0,10400000.0,150000.0,0.0,64318800.0,5960000.0,,
189,190,4000000.0,2600000.0,8700000.0,150000.0,0.0,18420000.0,3276000.0,,
190,191,2000000.0,6700000.0,0.0,100000.0,0.0,-160000.0,1120000.0,,
191,192,0.0,5200000.0,0.0,100000.0,240000.0,39630000.0,9000000.0,,
192,193,0.0,5550000.0,0.0,4150000.0,0.0,62679500.0,5800000.0,,
193,194,0.0,4056000.0,5200000.0,100000.0,0.0,2532000.0,1300000.0,,
194,195,8880000.0,3600000.0,0.0,1650000.0,0.0,9300000.0,2520000.0,,
195,196,0.0,0.0,300000.0,1050000.0,0.0,,0.0,,1200000.0
196,197,15600000.0,1200000.0,0.0,1050000.0,0.0,,0.0,,
197,198,0.0,2100000.0,0.0,1350000.0,0.0,14967333.333333332,20940000.0,,
198,199,0.0,1200000.0,1400000.0,700000.0,0.0,11100000.0,11100000.0,,
199,200,0.0,1200000.0,1350000.0,650000.0,0.0,3869333.333333333,0.0,,
200,201,17100000.0,3600000.0,0.0,1650000.0,0.0,22506000.0,3700000.0,,
201,202,0.0,0.0,4200000.0,350000.0,0.0,,0.0,,
202,203,29100000.0,1200000.0,0.0,1000000.0,0.0,,0.0,652820.5128205128,
203,204,16370000.0,6132000.0,0.0,1000000.0,0.0,840000.0,2720000.0,366255.944055944,
204,205,0.0,0.0,4500000.0,350000.0,0.0,,0.0,637671.3286713287,1450000.0
205,206,5600000.0,4756000.0,0.0,800000.0,0.0,,0.0,,
206,207,11700000.0,0.0,0.0,350000.0,0.0,-2800000.0,0.0,,
207,208,5800000.0,10960000.0,4500000.0,1950000.0,0.0,-4521000.0,739900.0,,
208,209,14200000.0,3600000.0,0.0,1706000.0,0.0,-25000.0,900000.0,,
209,210,0.0,3596000.0,0.0,700000.0,0.0,2795000.0,2567000.0,,
210,211,0.0,5450000.0,0.0,350000.0,0.0,5550000.0,1440000.0,,
211,212,0.0,1500000.0,0.0,700000.0,0.0,25540000.0,4550000.0,,
212,213,17000000.0,1500000.0,0.0,700000.0,0.0,,0.0,,
213,214,0.0,1500000.0,0.0,40700000.0,1500000.0,88500000.0,45200000.0,,
214,215,0.0,920000.0,8400000.0,0.0,0.0,1160000.0,1680000.0,,
215,216,0.0,4500000.0,0.0,650000.0,0.0,24180000.0,4200000.0,,
216,217,0.0,3000000.0,0.0,700000.0,0.0,11930000.0,1380000.0,,
217,218,0.0,10956000.0,0.0,0.0,0.0,,0.0,,
218,219,18000000.0,3650000.0,0.0,100000.0,0.0,,0.0,,
219,220,16500000.0,900000.0,2200000.0,50000.0,120000.0,1000000.0,0.0,,
220,221,17640000.0,4550000.0,2200000.0,100000.0,120000.0,,0.0,,
221,222,37320000.0,5100000.0,0.0,100000.0,0.0,0.0,0.0,,
222,223,0.0,700000.0,9000000.0,100000.0,0.0,11555000.0,18125000.0,,
223,224,11950000.0,3600000.0,0.0,100000.0,0.0,30135714.285714284,9850000.0,,
224,225,23520000.0,5100000.0,0.0,3100000.0,300000.0,,0.0,,
225,226,0.0,3600000.0,10900000.0,43600000.0,120000.0,,0.0,,10360000.0
226,227,8400000.0,5520000.0,4350000.0,80000.0,0.0,1272000.0,0.0,,1350000.0
227,228,3200000.0,1050000.0,11750000.0,0.0,0.0,-60000.0,9000000.0,195384615.3846154,
228,229,0.0,710000.0,4350000.0,0.0,0.0,,0.0,,
229,230,0.0,1250000.0,10900000.0,600000.0,0.0,-793000.0,450000.0,2319606.0606060605,1998000.0
230,231,9912000.0,800000.0,4350000.0,0.0,0.0,,0.0,,
231,232,0.0,900000.0,10224470.0,75000.0,0.0,,0.0,27436.363636363647,
232,233,0.0,4645000.0,9010000.0,5044000.0,0.0,-685000.0,0.0,,
233,234,15655493.0,700000.0,8320000.0,560000.0,0.0,3723000.0,0.0,,486000.0
234,235,7080000.0,3600000.0,0.0,400000.0,0.0,,0.0,,30435000.0
235,236,6753000.0,300000.0,0.0,50000.0,0.0,,0.0,,
236,237,0.0,4456000.0,4200000.0,100000.0,0.0,16208000.0,23300000.0,,
237,238,15000000.0,3600000.0,0.0,500000.0,0.0,,0.0,,16200000.0
238,239,21050000.0,5100000.0,0.0,250000.0,0.0,,0.0,,
239,240,9600000.0,300000.0,0.0,25250000.0,0.0,,0.0,,
240,241,4750000.0,600000.0,4858000.0,100000.0,0.0,,0.0,,18620000.0
241,242,16678000.0,2940000.0,2000000.0,220000.0,0.0,,0.0,,
242,243,0.0,600000.0,7200000.0,495000.0,0.0,16806666.666666668,0.0,,
243,244,15850000.0,7300000.0,0.0,150000.0,0.0,2000000.0,0.0,,
244,245,3650000.0,888000.0,0.0,100000.0,0.0,,0.0,,
245,246,13950000.0,3972000.0,0.0,100000.0,0.0,,0.0,,
246,247,0.0,500000.0,4500000.0,50000.0,0.0,,0.0,,
247,248,0.0,5700000.0,0.0,200000.0,0.0,,0.0,,-3308000.0
248,249,8400000.0,300000.0,5440000.0,50000.0,0.0,,0.0,,
249,250,4980000.0,5700000.0,0.0,100000.0,0.0,,0.0,,6025000.0
250,251,0.0,500000.0,4500000.0,4050000.0,0.0,,0.0,,
251,252,900000.0,1800000.0,0.0,100000.0,0.0,1000000.0,0.0,,
252,253,5000000.0,4014000.0,0.0,21100000.0,0.0,100000.0,1820000.0,,235000.0
253,254,60000000.0,5100000.0,0.0,100000.0,0.0,12200000.0,19280000.0,,
254,255,9768000.0,5100000.0,0.0,220000.0,0.0,3710100.0,8095000.0,5000000.0,
255,256,15120000.0,3600000.0,0.0,8212000.0,0.0,,0.0,,
256,257,30855000.0,2700000.0,0.0,770000.0,0.0,3300000.0,1575000.0,,0.0
257,258,16080000.0,4160000.0,5640000.0,410000.0,0.0,,0.0,,
258,259,0.0,2100000.0,3700000.0,230000.0,0.0,800000.0,260000.0,,12816000.0
259,260,9950000.0,5200000.0,6000000.0,230000.0,0.0,,0.0,,
260,261,25600000.0,3900000.0,0.0,490000.0,0.0,6123000.0,5000.0,,
261,262,18400000.0,6550000.0,4400000.0,400000.0,0.0,975000.0,5000.0,,
262,263,11600000.0,5650000.0,6900000.0,360000.0,0.0,,0.0,,
263,264,650000.0,1200000.0,8400000.0,320000.0,0.0,,0.0,,
264,265,2000000.0,1800000.0,0.0,100000.0,0.0,,0.0,,
265,266,5040000.0,2088000.0,0.0,100000.0,0.0,,0.0,,
266,267,0.0,3600000.0,3600000.0,150000.0,0.0,6675200.0,2080000.0,,
267,268,23170000.0,3300000.0,0.0,100000.0,0.0,,0.0,,
268,269,0.0,3600000.0,0.0,100000.0,0.0,35150000.0,16940000.0,,
269,270,0.0,660000.0,5010000.0,50000.0,0.0,,0.0,,
270,271,0.0,3150000.0,0.0,100000.0,0.0,,0.0,,
271,272,0.0,6156000.0,8700000.0,100000.0,0.0,,0.0,,
272,273,65840000.0,4300000.0,0.0,490000.0,0.0,-10244600.0,5250000.0,,
273,274,0.0,700000.0,8700000.0,180000.0,0.0,,0.0,,4200000.0
274,275,0.0,3828000.0,8664000.0,150000.0,0.0,,0.0,,
275,276,0.0,2740000.0,7800000.0,150000.0,0.0,,0.0,,
276,277,0.0,960000.0,8400000.0,100000.0,0.0,,0.0,,
277,278,0.0,1020000.0,9696000.0,150000.0,0.0,,0.0,,1770000.0
278,279,13040000.0,4800000.0,0.0,100000.0,0.0,,0.0,,
279,280,14400000.0,4200000.0,0.0,50000.0,0.0,,0.0,,
280,281,12500000.0,600000.0,4200000.0,100000.0,0.0,,0.0,,
281,282,0.0,9000000.0,7800000.0,250000.0,0.0,,0.0,,6235000.0
282,283,19800000.0,3000000.0,0.0,100000.0,0.0,,0.0,,
283,284,5000000.0,950000.0,4200000.0,50000.0,0.0,,0.0,,
284,285,0.0,460000.0,6180000.0,50000.0,0.0,1400000.0,300000.0,,780000.0
285,286,4900000.0,7172000.0,0.0,200000.0,0.0,,0.0,,
286,287,22800000.0,5700000.0,0.0,260000.0,0.0,,0.0,,
287,288,0.0,1030000.0,11490000.0,100000.0,0.0,,0.0,,
288,289,6200000.0,600000.0,0.0,100000.0,0.0,,0.0,,
289,290,7000000.0,2100000.0,0.0,180000.0,0.0,,0.0,,
290,291,18350000.0,2100000.0,0.0,300000.0,0.0,,0.0,,
291,292,6000000.0,5556000.0,4650000.0,310000.0,0.0,,0.0,,
292,293,16000000.0,10484000.0,0.0,220000.0,0.0,,0.0,,
293,294,700000.0,5700000.0,0.0,50000.0,0.0,3212000.0,5024000.0,,
294,295,24000000.0,5100000.0,0.0,420000.0,0.0,,0.0,,
295,296,18800000.0,300000.0,0.0,0.0,0.0,,0.0,,
296,297,24000000.0,5100000.0,0.0,340000.0,0.0,,0.0,,
297,298,0.0,300000.0,7320000.0,50000.0,0.0,,0.0,,
298,299,0.0,3300000.0,0.0,180000.0,0.0,,0.0,,
299,300,18600000.0,2100000.0,0.0,240000.0,0.0,,0.0,,
300,301,16720000.0,5500000.0,0.0,330000.0,0.0,1840000.0,0.0,,
301,302,21000000.0,3600000.0,0.0,400000.0,0.0,,0.0,,
302,303,0.0,2100000.0,12750000.0,310000.0,0.0,,0.0,,-19644000.0
303,304,4800000.0,1854000.0,3456000.0,100000.0,0.0,,0.0,,
304,305,9600000.0,2100000.0,0.0,340000.0,0.0,,0.0,,
305,306,0.0,2100000.0,0.0,100000.0,0.0,15627857.142857142,2480000.0,,
306,307,3600000.0,900000.0,0.0,150000.0,0.0,25005000.0,5644500.0,,
307,308,0.0,8656000.0,0.0,100000.0,0.0,-920000.0,1500000.0,,400000.0
308,309,600000.0,2400000.0,3600000.0,150000.0,0.0,7740000.0,9400000.0,,
309,310,0.0,600000.0,8400000.0,100000.0,0.0,2095000.0,10895000.0,,
310,311,0.0,5100000.0,0.0,100000.0,0.0,10041666.666666668,14316000.0,,
311,312,0.0,600000.0,4200000.0,100000.0,0.0,7329000.0,7030000.0,,
312,313,0.0,4480000.0,0.0,150000.0,0.0,18103000.0,8450000.0,,
313,314,0.0,3600000.0,0.0,200000.0,0.0,8375000.0,11900000.0,,
314,315,4000000.0,10632000.0,0.0,100000.0,0.0,-1350000.0,1650000.0,,
315,316,2700000.0,5200000.0,1440000.0,230000.0,0.0,,0.0,,
316,317,7800000.0,5322000.0,0.0,180000.0,0.0,,0.0,,
317,318,0.0,3900000.0,0.0,310000.0,0.0,7130000.0,5150400.0,,
318,319,0.0,600000.0,0.0,100000.0,0.0,13264000.0,48600.0,,
319,320,3800000.0,1900000.0,4500000.0,100000.0,0.0,,0.0,,
320,321,4170000.0,5100000.0,0.0,4140000.0,0.0,0.0,300000.0,,
321,322,9600000.0,4356000.0,0.0,150000.0,0.0,-1526000.0,1056500.0,,
322,323,0.0,3600000.0,0.0,100000.0,0.0,445500.0,3375000.0,,
