,loanid,month,amount
0,676,2020-12-31,94636
1,676,2021-01-31,94636
2,676,2021-02-28,94636
3,676,2021-03-31,94636
4,676,2021-04-30,94636
5,676,2021-05-31,94636
6,676,2021-06-30,94636
7,676,2021-07-31,94636
8,676,2021-08-31,94636
9,676,2021-09-30,94636
10,676,2021-10-31,94636
11,676,2021-11-30,94636
12,1743,2022-10-31,30692
13,1743,2022-11-30,30692
14,1743,2022-12-31,30692
15,1743,2023-01-31,30692
16,1743,2023-02-28,30692
17,1743,2023-03-31,30692
18,1743,2023-04-30,30692
19,1743,2023-05-31,30692
20,1743,2023-06-30,30692
21,1743,2023-07-31,30692
22,1743,2023-08-31,30692
23,1743,2023-09-30,30692
24,1745,2022-10-31,56297
25,1745,2022-11-30,56297
26,1745,2022-12-31,56297
27,1745,2023-01-31,56297
28,1745,2023-02-28,56297
29,1745,2023-03-31,56297
30,1745,2023-04-30,56297
31,1745,2023-05-31,56297
32,1745,2023-06-30,56297
33,1745,2023-07-31,56297
34,1745,2023-08-31,56297
35,1745,2023-09-30,56297
36,1749,2022-10-31,62198
37,1749,2022-11-30,62198
38,1749,2022-12-31,62198
39,1749,2023-01-31,62198
40,1749,2023-02-28,62198
41,1749,2023-03-31,62198
42,1749,2023-04-30,62198
43,1749,2023-05-31,62198
44,1749,2023-06-30,62198
45,1749,2023-07-31,62198
46,1749,2023-08-31,62198
47,1749,2023-09-30,62198
48,1755,2022-10-31,87530
49,1755,2022-11-30,87530
50,1755,2022-12-31,87530
51,1755,2023-01-31,87530
52,1755,2023-02-28,87530
53,1755,2023-03-31,87530
54,1755,2023-04-30,87530
55,1755,2023-05-31,87530
56,1755,2023-06-30,87530
57,1755,2023-07-31,87530
58,1755,2023-08-31,87530
59,1755,2023-09-30,87530
60,1772,2022-10-31,59769
61,1772,2022-11-30,59769
62,1772,2022-12-31,59769
63,1772,2023-01-31,59769
64,1772,2023-02-28,59769
65,1772,2023-03-31,59769
66,1772,2023-04-30,59769
67,1772,2023-05-31,59769
68,1772,2023-06-30,59769
69,1772,2023-07-31,59769
70,1772,2023-08-31,59769
71,1772,2023-09-30,59769
72,1774,2022-10-31,63794
73,1774,2022-11-30,63794
74,1774,2022-12-31,63794
75,1774,2023-01-31,63794
76,1774,2023-02-28,63794
77,1774,2023-03-31,63794
78,1774,2023-04-30,63794
79,1774,2023-05-31,63794
80,1774,2023-06-30,63794
81,1774,2023-07-31,63794
82,1774,2023-08-31,63794
83,1774,2023-09-30,63794
84,1775,2022-10-31,81907
85,1775,2022-11-30,81907
86,1775,2022-12-31,81907
87,1775,2023-01-31,81907
88,1775,2023-02-28,81907
89,1775,2023-03-31,81907
90,1775,2023-04-30,81907
91,1775,2023-05-31,81907
92,1775,2023-06-30,81907
93,1775,2023-07-31,81907
94,1775,2023-08-31,81907
95,1775,2023-09-30,81907
96,1784,2022-10-31,17719
97,1784,2022-11-30,17719
98,1784,2022-12-31,17719
99,1784,2023-01-31,17719
100,1784,2023-02-28,17719
101,1784,2023-03-31,17719
102,1784,2023-04-30,17719
103,1784,2023-05-31,17719
104,1784,2023-06-30,17719
105,1784,2023-07-31,17719
106,1784,2023-08-31,17719
107,1784,2023-09-30,17719
108,1791,2022-10-31,25664
109,1791,2022-11-30,25664
110,1791,2022-12-31,25664
111,1791,2023-01-31,25664
112,1791,2023-02-28,25664
113,1791,2023-03-31,25664
114,1791,2023-04-30,25664
115,1791,2023-05-31,25664
116,1791,2023-06-30,25664
117,1791,2023-07-31,25664
118,1791,2023-08-31,25664
119,1791,2023-09-30,25664
120,1794,2022-10-31,42891
121,1794,2022-11-30,42891
122,1794,2022-12-31,42891
123,1794,2023-01-31,42891
124,1794,2023-02-28,42891
125,1794,2023-03-31,42891
126,1794,2023-04-30,42891
127,1794,2023-05-31,42891
128,1794,2023-06-30,42891
129,1794,2023-07-31,42891
130,1794,2023-08-31,42891
131,1794,2023-09-30,42891
132,1800,2022-10-31,59193
133,1800,2022-11-30,59193
134,1800,2022-12-31,59193
135,1800,2023-01-31,59193
136,1800,2023-02-28,59193
137,1800,2023-03-31,59193
138,1800,2023-04-30,59193
139,1800,2023-05-31,59193
140,1800,2023-06-30,59193
141,1800,2023-07-31,59193
142,1800,2023-08-31,59193
143,1800,2023-09-30,59193
144,1801,2022-10-31,11973
145,1801,2022-11-30,11973
146,1801,2022-12-31,11973
147,1801,2023-01-31,11973
148,1801,2023-02-28,11973
149,1801,2023-03-31,11973
150,1801,2023-04-30,11973
151,1801,2023-05-31,11973
152,1801,2023-06-30,11973
153,1801,2023-07-31,11973
154,1801,2023-08-31,11973
155,1801,2023-09-30,11973
156,1804,2022-10-31,82454
157,1804,2022-11-30,82454
158,1804,2022-12-31,82454
