Branch,Type,Amount,IssueDate,DueDate,InterestRate,Status
B,Home,39909,1/1/2015,12/16/2017,0.140285489,NORM
B,Home,80146,1/1/2015,12/11/2018,0.146974833,OVRD
B,Home,20734,1/1/2015,12/27/2015,0.157299311,NORM
B,Home,36540,1/1/2015,12/27/2015,0.166934036,OVRD
B,Home,34386,1/1/2015,12/11/2018,0.147609667,NORM
B,Home,35329,1/1/2015,12/16/2017,0.145912712,NORM
B,Home,81286,1/1/2015,12/27/2015,0.139535664,OVRD
B,Home,95890,1/1/2015,12/27/2015,0.16633047,NORM
B,Home,14900,1/1/2015,12/21/2016,0.169478302,NORM
B,Home,88819,1/1/2015,12/6/2019,0.134884419,NPL
B,Home,71455,1/1/2015,12/16/2017,0.1330122,NORM
B,Home,12913,1/1/2015,12/11/2018,0.134149238,NORM
B,Home,68817,1/1/2015,12/21/2016,0.131360392,OVRD
B,Home,67262,1/1/2015,12/27/2015,0.144353836,NPL
B,Home,11536,1/1/2015,12/21/2016,0.151892945,NORM
B,Home,82560,1/1/2015,12/16/2017,0.153974044,NORM
B,Home,24927,1/1/2015,12/16/2017,0.156541125,NPL
B,Home,76754,1/1/2015,12/11/2018,0.136173025,NPL
B,Home,10627,1/1/2015,12/11/2018,0.152233334,NPL
B,Home,13533,1/1/2015,12/6/2019,0.16244799,NPL
B,Home,15975,1/1/2015,12/11/2018,0.131141429,OVRD
B,Home,13507,1/1/2015,12/11/2018,0.163028991,OVRD
B,Home,35401,1/1/2015,12/6/2019,0.140907867,OVRD
B,Home,89866,1/1/2015,12/6/2019,0.152147165,NORM
B,Home,38728,1/1/2015,12/11/2018,0.139107025,OVRD
B,Home,43738,1/1/2015,12/27/2015,0.139187509,NPL
B,Home,14583,1/1/2015,12/6/2019,0.15767095,NPL
B,Home,56664,1/1/2015,12/6/2019,0.130880281,OVRD
B,Home,61915,1/1/2015,12/6/2019,0.159496025,NPL
B,Home,35432,1/1/2015,12/6/2019,0.16965327,OVRD
B,Home,99066,1/1/2015,12/27/2015,0.168441649,NORM
B,Home,64509,1/1/2015,12/6/2019,0.13646986,NORM
B,Home,36547,1/1/2015,12/11/2018,0.159308906,NPL
B,Home,85607,1/1/2015,12/16/2017,0.166322232,OVRD
B,Home,10486,1/1/2015,12/6/2019,0.132437567,NPL
