date,ca,cap,fa,bop,res,eo
20M01,-254.43,8.0,-110.18,-90.7,-90.7,45.55
20M02,-145.99,8.19,-173.1,7.88,7.88,-27.42
20M03,-322.83,8.89,-22.62,-267.37,-267.37,23.94
20M04,-270.21,8.97,31.91,-315.24,-315.24,-22.09
20M05,24.93,8.38,277.62,-465.57,-465.57,-221.26
20M06,85.84,8.74,-422.82,451.8,451.8,-65.61
20M07,273.36,8.55,-123.4,335.51,335.51,-69.8
20M08,-79.04,7.08,-135.04,-54.95,-54.95,-118.03
20M09,-44.42,9.67,146.93,-73.87,-73.87,107.81
20M10,10.19,7.91,-197.09,178.2,178.2,-36.98
20M11,132.88,9.69,24.5,303.6,303.6,185.53
20M12,-84.89,8.75,-800.95,777.6,777.6,52.79
21M01,-90.08,6.84,76.35,-160.69,-160.69,-1.1
21M02,-107.23,6.22,-201.81,167.7,167.7,66.9
21M03,-126.33,11.31,-244.95,163.4,163.4,33.48
21M04,-243.29,6.03,-134.45,74.59,74.59,177.4
21M05,-157.63,8.43,-203.7,-13.39,-13.39,-67.89
21M06,-363.38,10.32,17.74,-285.83,-285.83,84.98
21M07,-354.32,7.92,-158.76,-245.92,-245.92,-58.28
21M08,-251.09,7.95,-152.08,-111.09,-111.09,-20.03
21M09,-213.68,22.02,0.89,-169.03,-169.03,23.52
21M10,188.93,6.39,-80.01,11.89,11.89,-263.44
21M11,394.62,10.04,-23.32,131.93,131.93,-296.05
21M12,-784.94,10.52,-878.11,214.81,214.81,111.12
22M01,-336.97,6.27,-79.61,-340.89,-340.89,-89.8
22M02,-123.03,2.6,-112.14,-230.46,-230.46,-222.18
22M03,-293.43,12.91,-99.19,-382.23,-382.23,-200.9
22M04,-271.02,10.39,-2.85,10.78,10.78,268.56
22M05,-93.26,10.96,-234.88,-105.21,-105.21,-257.8
22M06,-243.11,11.42,-397.13,-9.94,-9.94,-175.38
22M07,-252.99,12.81,-38.98,-258.94,-258.94,-57.75
22M08,-200.28,16.03,30.06,-205.16,-205.16,9.16
22M09,24.27,22.14,28.68,163.11,163.11,145.39
22M10,-179.66,12.71,-236.42,-0.57,-0.57,-70.04
22M11,-12.52,20.56,-112.27,162.59,162.59,42.27
22M12,-321.51,15.44,-389.34,469.68,469.68,386.41
23M01,-23.49,6.33,69.58,188.56,188.56,275.31
23M02,241.15,7.31,277.79,-122.32,-122.32,-93.0
23M03,97.5,8.04,153.13,13.37,13.37,60.97
23M04,138.93,9.14,-253.57,190.96,190.96,-210.68
23M05,-70.31,7.34,-164.51,233.73,233.73,132.19
23M06,-162.63,21.75,-140.7,-30.58,-30.58,-30.4
23M07,112.64,6.6,104.47,-21.37,-21.37,-36.14
23M08,-38.11,10.7,-204.41,99.14,99.14,-77.85
23M09,134.32,11.63,-30.6,239.95,239.95,63.4
23M10,-140.67,16.22,-13.34,-94.78,-94.78,16.33
23M11,77.0,9.1,-353.86,266.86,266.86,-173.1
23M12,-245.06,20.75,-920.57,493.51,493.51,-202.76
24M01,-331.03,9.42,-481.36,-86.41,-86.41,-246.16
24M02,-146.25,8.55,-88.11,125.11,125.11,174.71
24M03,226.36,14.26,-287.87,334.49,334.49,-194.01
24M04,-310.65,11.96,94.28,-201.25,-201.25,191.72
24M05,-75.18,19.65,-220.91,179.5,179.5,14.13
24M06,53.35,14.54,323.67,-408.76,-408.76,-152.98
